pub_id|title|year|venue|authors|institution|keywords
1|What Situational Information Would Help Developers When Using a Graphical Code Recommender?|2016|JSS|Seonah Lee; Sungwon Kang|Korea Advanced Institute of Science and Technology|Empirical Software Engineering;Test Driven Development;Process Quality
2|Links between the personalities, styles and performance in computer programming|2015|JSS|Zahra Karimi;Ahmad Baraani-Dastjerdi;Nasser Ghasem-Aghaee;Stefan Wagner|University of Isfahan;Universität Stuttgart|Programming styles;Personality;Five-factor model
3|Bringing Test-Driven Development to web service choreographies|2015|JSS|Felipe Besson;Paulo Moura;Fabio Kon;Dejan Milojicic|University of São Paulo;Hewlett Packard Laboratories|Automated testing;Test-Driven Development;Web service choreographies
4|Tester interactivity makes a difference in search-based software testing: A controlled experiment|2016|IST|Bogdan Marculescu; Simon Poulding; Robert Feldt; Kai Petersen; Richard Torkar|Blekinge Institute of Technology; Chalmers and the University of Gothenburg|Search-based software testing; Interactive search-based software testing; Controlled experiment
5|Evaluating the productivity of a reference-based programming approach: A controlled experiment|2014|IST|Arnon Sturm; Oded Kramer|Ben-Gurion University of Negev|Search-based software testing; Interactive search-based software testing; Controlled experiment
6|Are team personality and climate related to satisfaction and software quality? Aggregating results from a twice replicated experiment|2015|IST|Silvia T. Acuna; Marta N. Gomez; Jo E. Hannay; Natalia Juristo; Dietmar Pfahl|Universidad Autonoma de Madrid; Universidad CEU San Pablo; Norwegian Defence Research Establishment; Universidad Politecnica de Madrid; University of Tartu|Personality factors; Team climate; Software quality; Satisfaction; Replication; Meta-analysis
7|Towards an Operationalization of Test-driven Development Skills: An Industrial Empirical Study|2015|IST|Davide Fucci; Burak Turhan; Natalia Juristo; Oscar Dieste; Ayse Tosun Misirli; Markku Oivo|Universidad Politecnica de Madrid; Istanbul Technical University|test-driven development; process conformance; software quality; developers' productivity
8|An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach|2016|ESEM|Davide Fucci; Giuseppe Scanniello; Simone Romano; Martin Shepperd; Boyce Sigweni; Fernando Uyaguari; Burak Turhan; Natalia Juristo; Markku Oivo|University of Oulu; University of Basilicata; Brunel University; Universidad Politécnica de Madrid|test-driven development; external experiment replication; blind analysis
9|An Experimental Evaluation of Test Driven Development vs. Test-Last Development with Industry Professionals|2014|EASE|Hussan Munir; Krzysztof Wnuk; Kai Petersen; Misagh Moayyed|Lund University; Blekinge Institute of Technology|Test-Driven Development; TDD; Test-Last Development; TLD; Productivity; internal or external code quality
10|Empirical study on the maintainability of Web applications: Model-driven Engineering vs Code-centric|2014|ESEJ|Y. Martínez; C. Cachero; S. Meliá|Universidad Máximo Gómez Báez de Ciego de Ávila;  Universidad de Alicante|Maintainability; Satisfaction; Quasi-experiment; MDE
11|Labeling source code with information retrievalmethods: an empirical study|2014|ESEJ|Andrea De Lucia; Massimiliano Di Penta; Rocco Oliveto; Annibale Panichella; Sebastiano Panichella|University of Salerno; University of Sannio; University of Molise|Program comprehension; Software artifact labeling; Information retrieval; Empirical studies
12|A family of experiments to assess the effectivenessand efficiency of source code obfuscation techniques|2014|ESEJ|Mariano Ceccato; Massimiliano Di Penta; Paolo Falcarin; Filippo Ricca; Marco Torchiano; Paolo Tonella|Fondazione Bruno Kessler; University of Sannio; University of East London; University of Genova; Politecnico di Torino|Program comprehension; Software artifact labeling; Information retrieval; Empirical studies
13|The impact of imperfect change rules on framework APIevolution identification: an empirical study|2015|ESEJ|Wei Wu; Adrien Serveaux; Yann-Gael Gueheneuc; Giuliano Antoniol|Ecole Polytechnique de Montreal|Software maintenance; Usefulness; Framework API evolution; Change rule
14|Prompter|2016|ESEJ|Luca Ponzanelli; Gabriele Bavota; Massimiliano Di Penta; Rocco Oliveto; Michele Lanza|Universita della Svizzera italiana; Free University of Bozen-Bolzano; University of Sannio; University of Molise|Recommenders; Mining software repositories; Stack overflow; Empirical studies
15|Evaluating Advantages of Test Driven Development: a Controlled Experiment with Professionals|2006|ISESE|Gerardo Canfora; Aniello Cimitile; Felix Garcia; Mario Piattini; Corrado Aaron Visaggio|Research Centre on Software Technology (RCOST); University of Castilla-La-Mancha|Empirical Software Engineering; Test Driven Development; Process Quality
16|An Empirical Comparison Between Pair Development and Software Inspection in Thailand|2006|ISESE|Monvorath Phongpaibul; Barry Boehm|University of Southern California; Thammasat University|Software Process Model; Software Verification; Empirical Study; Software Inspection; Pair Programming; Peer Review
17|The effect of experience on the test-driven development process|2007|ESEM|Matthias M. Muller; Andreas Höfer|Systeme Infrastruktur Support GmbH, EnBW AG; Universitat Karlsruhe|Test-driven development; Process; Quasi-experiment; Experts; Novices
18|A Replicate Empirical Comparison between Pair Development and Software Development with Inspection|2007|ISESE|Monvorath Phongpaibul; Barry Boehm|University of Southern California|Empirical Software Engineering; Test Driven Development; Process Quality
19|Comparing Inspection Methods using Controlled Experiments|2008|ESEM|Andrea De Lucia; Fausto Fasano; Giuseppe Scanniello; Genoveffa Tortora|University of Salerno; University of Basilicata|Code Inspection; Controlled Experiment; Distributed Inspection; Fagan’s Method; Pair Inspection
20|Experimental evaluation of a tool for the verification and transformation of source code in event-driven systems|2009|ESEJ|Gürcan Güles ̧ir; Klaas van den Berg; Lodewijk Bergmans; Mehmet Aks it|University of Twente|Event-driven systems; Source code verification; Source code transformation; Formal experiment
21|Does Aspect-Oriented Programming Increase the Development Speed for Crosscutting Code? An Empirical Study|2009|ESEM|Stefan Hanenberg; Sebastian Kleinschmager; Manuel Josupeit-Walter|University of Duisburg-Essen|nc
22|Preserving Aspects via Automation: a Maintainability Study|2011|ESEM|Aram Hovsepyan; Riccardo Scandariato; Stefan Van Baelen; Wouter Joosen; Serge Demeyer|Katholieke Universiteit Leuven; Universiteit Antwerpen|Experimental study; domain specific modeling; model driven engineering
23|Evaluating Methods and Technologies in Software Engineering with Respect to Developers’ Skill Level|2012|EASE|Gunnar R. Bergersen; Dag I. K. Sjøberg|University of Oslo|programming skill; pretest; experimental control; debugging; performance; replication
24|Plat_Forms 2011: Finding Emergent Properties of Web Application Development Platforms|2012|ESEM|Ulrich Stärk; Lutz Prechelt; Ilija Jolevski|Freie Universität Berlin; University St. Kliment Ohridski|Experiment; Web Development; Platforms; Comparison; Emergent Properties; Languages; Empirical Software Engineering
25|Are Forward Designed or Reverse-Engineered UML Diagrams More Helpful for Code Maintenance?: A Controlled Experiment|2013|EASE|Ana M. Fernández-Sáez; Michel R.V. Chaudron; Marcela Genero; Isabel Ramos|Leiden University; Chalmers University of Technology; University of Gothenburg; University of Castilla-La-Mancha; University of Seville|Software Maintenance; UML Diagrams; Reverse Engineering; Controlled Experiment; Survey
26|A Replicated Experiment on the Effectiveness of Test-first Development|2013|ESEM|Davide Fucci; Burak Turhan|University of Oulu|nc
