exp_id|type|instrument
1|Subjective|form
2|Subjective|form
2|Subjective|form
2|Subjective|form
2|Subjective|form
2|Subjective|form
2|Subjective|form
2|Source Code|repository
3|Subjective|form
3|Subjective|interview
4|Source Code|
5|Time|form
5|Source Code|
6|Subjective|form
6|Source Code|
7|Subjective|form
7|Source Code|
8|Subjective|form
8|Source Code|
9|Subjective|form
9|Source Code|log
9|Source Code|
10|Source Code|
10|Source Code|
10|Source Code|
11|Source Code|
11|Source Code|
11|Source Code|
11|Subjective|form
12|Source Code|
12|Time|
12|Subjective|form
12|Subjective|form
13|Source Code|
13|Source Code|
13|Source Code|
14|Subjective|form
14|Source Code|
15|Subjective|form
15|Time|tool
16|Source Code|
17|Subjective|form
17|Subjective|form
17|Time|form
17|Subjective|form
17|Subjective|form
18|Time|form
18|Time|form
18|Time|form
18|Time|form
18|Source Code|
18|Source Code|
18|Source Code|
18|Source Code|
18|Source Code|
18|Source Code|
19|Source Code|
19|Source Code|
19|Source Code|
19|Source Code|
19|Source Code|
19|Source Code|
20|Time|experimenter
20|Time|experimenter
20|Time|experimenter
20|Source Code|
20|Source Code|
20|Time|experimenter
20|Time|experimenter
20|Source Code|
20|Source Code|
20|Source Code|
20|Subjective|form
21|Time|form
21|Time|form
21|Time|form
21|Time|form
21|Time|form
21|Time|form
21|Time|form
21|Time|form
21|Source Code|
21|Source Code|
22|Time|form;tool
22|Source Code|
22|Source Code|
23|Time|tool
23|Source Code|
24|Time|tool
25|Time|tool
26|Time|tool
26|Source Code|
27|Source Code|
27|Source Code|
27|Subjective|interview
27|Source Code|
28|Source Code|
28|Time|form
28|Source Code|
29|Time|experimenter
29|Source Code|
29|Source Code|
29|Source Code|
30|Source Code|
30|Time|tool
31|Time|form
31|Time|form
31|Time|form
31|Source Code|
31|Source Code|
31|Source Code|
31|Source Code|
31|Source Code|
32|Source Code|
32|Source Code|
32|Time|
33|Source Code|
33|Source Code|
33|Source Code|
33|Subjective|form
33|Subjective|form
34|Subjective|questionary
35|Time|tool
35|Subjective|form
36|Time|tool
36|Subjective|form;tool
36|Subjective|form;tool
36|Subjective|form;tool
36|Subjective|form;tool
37|Source Code|
37|Source Code|
38|Time|experimenter
38|Subjective|form
38|Subjective|form
38|Subjective|form
39|Subjective|form
39|Source Code|
39|Source Code|
39|Time|
40|Source Code|
40|Source Code|
41|Time|
41|Subjective|form
41|Subjective|form
42|Source Code|
43|Time|tool
43|Source Code|
44|Time|tool;form
44|Time|tool;form
44|Source Code|
44|Source Code|
44|Source Code|
44|Source Code|
45|Time|form
45|Subjective|form
45|Subjective|form
46|Source Code|
46|Source Code|
47|Time|form
47|Source Code|
48|Time|tool
48|Source Code|
48|Source Code|
48|Source Code|
48|Source Code|
49|Time|
50|Subjective|form
50|Subjective|form
50|Source Code|
50|Source Code|
51|Time|tool
51|Time|tool
51|Time|tool
51|Source Code|
52|Time|experimenter;sheet
52|Time|experimenter;sheet
52|Time|experimenter;sheet
53|Time|experimenter
53|Source Code|
53|Subjective|form
54|Time|tool
54|Source Code|
55|Source Code|
55|Source Code|
55|Source Code|
56|Time|tool
57|Time|tool
57|Time|tool
57|Source Code|
58|Time|tool
58|Source Code|
58|Source Code|
58|Source Code|
59|Time|form
59|Subjective|form
60|Time|experimenter
60|Time|experimenter
60|Source Code|
60|Source Code|
61|Source Code|
61|Source Code|
61|Source Code|
62|Source Code|
62|Source Code|
62|Source Code|
63|Time|form
63|Source Code|
63|Source Code|
64|Time|screenrecorder
64|Source Code|
65|Time|experimenter
65|Source Code|
65|Subjective|form
66|Source Code|
66|Source Code|
66|Subjective|form
66|Time|tool;form
67|Source Code|
68|Time|tool
68|Subjective|form
68|Source Code|
69|Time|tool
69|Source Code|
70|Time|tool
70|Source Code|
71|Source Code|
71|Source Code|
71|Source Code|
71|Source Code|
71|Time|form
72|Time|form
72|Source Code|
73|Time|form
74|Time|form
75|Time|screenrecorder
75|Subjective|video
75|Source Code|
75|Source Code|
76|Time|experimenter
76|Source Code|
77|Time|experimenter
77|Source Code|
78|Subjective|form
78|Source Code|
78|Source Code|
78|Source Code|
78|Source Code|
79|Time|experimenter
79|Source Code|
80|Subjective|form
80|Subjective|form
80|Subjective|form
80|Subjective|form
81|Subjective|online questionnaire
81|Subjective|questionnaire handout
81|Time|tool
81|Subjective|
82|Source Code|
82|Source Code|
83|Source Code|
83|Subjective|interview
83|Subjective|report
83|Time|form
83|Subjective|form
84|Subjective|form
84|Source Code|
84|Source Code|
85|Source Code|
85|Time|form
85|Subjective|form
86|Source Code|
86|Time|form
86|Subjective|form
87|Subjective|form
87|Subjective|form
88|Others|screenrecord
88|Time|screenrecord
88|Subjective|form
89|Time|screenrecord
89|Subjective|screenrecord
90|Others|Eyetracking
90|Others|EEG
90|Others|EDA
91|Time|
91|Subjective|
92|Time|
92|Subjective|
93|Time|
93|Others|
93|Source Code|
93|Subjective|form
94|Time|
94|Others|
94|Source Code|
94|Subjective|form
95|Source Code|screenrecord
95|Time|screenrecord
96|Time|tool
96|Source Code|tool
97|Time|
97|Time|
97|Time|
97|Source Code|
97|Source Code|
98|Time|
98|Source Code|
98|Subjective|interview
98|Subjective|interview
98|Subjective|interview
98|Subjective|interview
99|Time|
99|Subjective|
100|Source Code|
101|Time|
101|Subjective|
102|Time|
103|Source Code|tool
103|Time|tool
103|Others|screenrecord
104|Source Code|
104|Source Code|
104|Subjective|
105|Others|screenrecord
105|Time|Eyetracking
105|Others|Eyetracking
106|Subjective|form
106|Source Code|
107|Others|MRI
108|Others|MRI
108|Others|Eyetracking
109|Time|Tool
109|Source Code|
109|Others|Tool
110|Source Code|
110|Others|Tool
110|Time|Tool
111|Time|
111|Source Code|
111|Subjective|form
112|Subjective|form
112|Subjective|form
112|Subjective|form
112|Subjective|form
113|Time|Tool
113|Time|Tool
113|Time|Tool
114|Subjective|form
115|Source Code|
115|Source Code|
115|Time|
115|Subjective|
116|Source Code|
116|Subjective|
116|Time|
117|Others|Eyetracking
117|Others|screenrecorder
118|Subjective|
118|Subjective|
119|Subjective|tool
119|Subjective|tool
119|Subjective|tool
120|Source Code|
120|Source Code|
120|Source Code|
120|Time|
121|Time|tool
121|Source Code|tool
121|Subjective|tool
121|Subjective|tool
121|Others|Grade
122|Subjective|form
123|Source Code|
124|Subjective|form
124|Source Code|
125|Time|experimenter
125|Source Code|
125|Subjective|form
125|Subjective|form
126|Source Code|
126|Time|
127|Subjective|form
127|Subjective|screenrecord
128|Subjective|form
128|Subjective|form
128|Subjective|form
128|Subjective|form
128|Subjective|form
128|Source Code|
128|Time|
130|Others|tool
130|Others|screenrecord
131|Source Code|tool
131|Time|tool
131|Subjective|form
